Место|Зона|Провинция|Регионы|Культура|Уровень технологий|Реализация потенциала сорта|Производительность труда|Гарантированная урожайность|Себестоимость|Тип основной продукции|Назначение основной продукции|Тип побочной продукции|Назанчение побочной продукции|Показатели качества. ГОСТ|Показатели качества. Максимальное содрежание клейковины|Показатели качества. Натура|Показатели качества. Максимальная влажность|Способ реализации|Уровень спроса на рынке|Агроэкологические виды земель|Предшественники|Рекомендуемые сорта|Подготовка семян|Минеральные удобрения. Тип|Минеральные удобрения. Количество|Пестициды (протравители). Тип|Пестициды (протравители). Количество|Гебициды. Тип|Гебициды. Количество|Фунгицыды. Тип|Фунгицыды. Количество|Инсектициды. Тип|Инсектициды. Количество|Ретардант . Тип|Ретардант . Количество|Известкование|Органические удобрения. Тип|Органические удобрения. Количество
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Экстенсивный|30%|8,5 чел-час/т|2,5 т/га|6000 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм|ГОСТ 9353-90|4 класс - 18-23%, 5 класс - менее 18%||15%|насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 1.5, 2.1, 2.2, 2.4 }|{занятый пар, зерновые и зернобобовые, пропашные, многолетние травы}|{Московская 39,Московская 56}|ГОСТ Р52325-2005|||||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Нормальный|50%|6,5 чел-час/т|3,5 т/га|7140 руб./т.|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%, ||15%.|насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 2.1, 2.2 }|{занятый пар викоовсяны, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Московская 39,Московская 56,Московская 40,Немчиновская 57}|ГОСТ Р52325-2005|N|90|Винцит Форте |1,5 л/т|Линтур ВДГ|180 г/га|Импакт Эксклюзив, КС |0,5 л/га|Данадим Пауэр КЭ, |1,0 л/га|||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Нормальный|50%|6,5 чел-час/т|3,5 т/га|7140 руб./т.|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%, ||15%.|насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 2.1, 2.2 }|{занятый пар викоовсяны, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Московская 39,Московская 56,Московская 40,Немчиновская 57}|ГОСТ Р52325-2005|P|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Нормальный|50%|6,5 чел-час/т|3,5 т/га|7140 руб./т.|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч. 3 класс - 24%; 4 класс - 18-23%, 5 класс - менее 18%, ||15%.|насыпью; в мешках|средний|{1.1, 1.2, 1.3, 1.4, 2.1, 2.2 }|{занятый пар викоовсяны, занятый пар горохоовсяный, ранние пропашные, зернобобовые, многолетние травы 1 -2-х лет пользования}|{Московская 39,Московская 56,Московская 40,Немчиновская 57}|ГОСТ Р52325-2005|K|60|||||||||||||
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Интенсивный|65%|4,5 чел-час/т|5,5 т/га|5450 руб./т|зерно|на хлебопекарные и фуражные цели|полова, солома|на корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью или в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}|в соответствии с ГОСТ Р52325-2005.|N|120|Винцит Форте|1,25 л/т |Тандем, ВДГ |0,25 кг/га|Импакт Супер |1,5 л/га |Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,3 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Интенсивный|65%|4,5 чел-час/т|5,5 т/га|5450 руб./т|зерно|на хлебопекарные и фуражные цели|полова, солома|на корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью или в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}|в соответствии с ГОСТ Р52325-2005.|P|90|Пикус |1,0 л/т|Фокстрот, ВЭ |1,0 л/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Эксперт, КЭ |1 л/га||||торфо-навозный компост |5-10 т/га 
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Интенсивный|65%|4,5 чел-час/т|5,5 т/га|5450 руб./т|зерно|на хлебопекарные и фуражные цели|полова, солома|на корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью или в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}|в соответствии с ГОСТ Р52325-2005.|K|90|||||Консул, КС |1,0 л/га|Вантекс, МКС |60 мл/га||||сидераты|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Интенсивный|65%|4,5 чел-час/т|5,5 т/га|5450 руб./т|зерно|на хлебопекарные и фуражные цели|полова, солома|на корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью или в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}|в соответствии с ГОСТ Р52325-2005.||||||||||||||пласт многолетних трав|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Интенсивный|65%|4,5 чел-час/т|5,5 т/га|5450 руб./т|зерно|на хлебопекарные и фуражные цели|полова, солома|на корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью или в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Московская 56,Московская 40,Немчиновская 57,Немчиновская 85}|в соответствии с ГОСТ Р52325-2005.||||||||||||||измельченная солома|
Центральное Нечерноземье|Южно-таежно-лесная зона|Среднерусская провинция|{Брянская область, Владимирская область, Ивановская область, Калужская область, Костромская область, Московская область, Москва, Орловская область, Рязанская область, Смоленская область, Тверская область, Тульская область, Ярославская область}|Озимая пшеница|Точный|85%|3,5 чел-час/т|7,5 т/га|4660 руб./т|зерно|хлебопекарные цели; фуражные цели|полова, солома|корм||24-32%, в т.ч.1 класс - 32%, 2 класс - 28% и 3 класс - 24%; |700 г/л|15%|насыпью; в мешках|высокий|{1.1, 1.2, 1.3 }|{занятый пар вико-овсяный, занятый пар горохо-овсяный, занятый пар сидеральный, ранние пропашные, многолетние бобовые и бобово-злаковые травы 1 -2-х лет пользования}|{Немчиновская 24,Немчиновская 85}|ГОСТ Р52325-2005|N|150|Винцит Форте|1,25 л/т |Атон, ВДГ|0,06 кг/га|Импакт Эксклюзив, КС |0,5 кг/га|Данадим Пауер, КЭ |1,6 л/га|Сапресс, КЭ |0,6 л/га|2-5 т/га|перепревший навоз|5-10 т/га 
