Зона|Провинция|Культура|Уровень технологий|Предшественник|Процессы|Операции|Номер Операции|Технологические параметры|Сроки|Техника
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Лущение|1|На 6-8 см в 1 -2 следа|Вслед за уборкой предшественника|Лущильники лемешные или дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Вспашка|2|На 20-22 см с полной заделкой растительных остатков|Через 8-10 дней после лущения|Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Культивация с боронованием|3|На глубину 6-8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Зерновые и зернобобовые сплошного сева}|Обработка почвы|Предпосевная обработка|4|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Многолетние травы 1-2-х лет пользования}|Обработка почвы|Дискование|5|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны тяжелые дисковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Многолетние травы 1-2-х лет пользования}|Обработка почвы|Вспашка|6|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Многолетние травы 1-2-х лет пользования}|Обработка почвы|Культивация с боронованием|7|На глубину 6-8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Многолетние травы 1-2-х лет пользования}|Обработка почвы|Предпосевная обработка|8|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Поверхностная обработка дискованием|9|В 1-2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Культивация с боронованием|10|На глубину 6-8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные}|Обработка почвы|Предпосевная обработка|11|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Посев|Загрузка семян в транспортные средства|12||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Посев|Транспортировка|13|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Посев|Посев|14|Обычный посев, рядовой, узкорядный. Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6 см. Норма высева: 4-5 млн всх. зерен на га (в зависимости от способа посева, плодородия почвы)|При среднесуточной температуре не выше 16-18оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые, рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Уход за посевами|Боронование посевов|15|При появлении всходов однолетних и зимующих сорняков.|В фазу 3–4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Уборка |Прямое комбайнирование|16|При влажности зерна 18%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Уборка |Раздельная уборка: скашивание в валки|17|При засорённом хлебостое, влажности зерна 22-24%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Уборка |Подбор валков|18|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Взвешивание|19|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Предварительная очистка|20|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Сушка зерна|21|||Сушилки стационарные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Первичная очистка|22|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Проверка качества зерна|23| 4 класс - клейковина 18-23%, ИДК-95 ед. 5 класс - клейковина менее 18%, ИДК более 105 ед.|При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Экстенсивный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|24||После очистки|Зернопогрузчики, автомобили
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Поверхностная обработка дискованием|25|В 1 -2 следа на 8-10 см|Вслед за уборкой предшественника|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Культивация с боронованием|26|На глубину 6 - 8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Занятый пар викоовсяный, Занятый пар горохоовсяный, ранние пропашные, зернобобовые}|Обработка почвы|Предпосевная обработка|27|На глубину посева|Перед посевом|комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Поверхностная обработка дискованием|28|На 8-10 см в 2 следа (до черна)|После первого укоса многолетних трав|Бороны дисковые тяжелые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Вспашка|29|На глубину 20-22 см (с полной заделкой растительных остатков)|Через 8-10 дней после дискования |Отвальные плуги
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Культивация с боронованием|30|На глубину 6-8 см|При появлении сорняков|Культиваторы паровые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный|{Многолетние травы 1 -2-х лет пользования}|Обработка почвы|Предпосевная обработка|31|На глубину посева|Перед посевом|Комбинированные агрегаты для выравнивания и прикатывания
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Основное внесение удобрений|Внесение органических удобрений|32|в дозе 5-10 т/га севооборотной площади|После уборки предшественника под вспашку|Машины для внесения органических удобрений
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Основное внесение удобрений|Внесение мине­ральных удобрений|33|N30P60K60|Фосфорные и калийные под основную обработку; Азотные под предпосевную обработку или совместно с посевом|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков;Сеялки с устройствами для внесения удобрений 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Подготовка семян к посеву|Простое протравливание|34|Фунгицидные протравители: Винцит Форте 1,5 л/т|Свежеубранные семена не позднее 2-3 дней до посева|Оборудование для  протравливания семян
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Посев|Загрузка семян в транспортные средства|35||Перед посевом|Зернопогрузчики
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Посев|Транспортировка|36|||
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Посев|Посев|37|Обычный посев, рядовой, узкорядный; Глубина посева семян (зависит от влажности почвы и механического состава) - на влажной суглинистой 3-4 см, на сухой песчаной - 5-6см;  Норма высева: 4-5 млн. всх. зерен на га (в зависимости от способа посева, плодородия почвы)|При среднесуточной температуре не выше 16-18 оС в течение 3 суток. Среднестатистические календарные сроки 25 августа – 15 сентября|Сеялки зерновые и зернотуковые рядовые и узкорядные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уход за посевами|Боронование посевов|38|При появлении всходов однолетних и зимующих сорняков.|В фазу 3-4 листьев (осенью) и весной при подсыхании почвы|Бороны зубовые средние
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уход за посевами|Обработка посевов пестицидами от сорняков, вредителей и болезней|39|Опрыскивание посевов баковой смесью гербицида, инсектицида и фунгицида (Линтур 180 г/га + Данадим, КЭ 1 л/га + Импакт, КС 0,5 л/га).|Осенью или весной в фазу кущения растений|Штанговые опрыскиватели
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уход за посевами|Подкормки азотными удобрениями|40|N60|В фазу весеннего отрастания|Агрегаты для растаривания и измельчения минеральных удобрений; Погрузчики; Разбрасыватели туков 
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уборка урожая|Обкашивание полей|41|Восковая спелость|За 10 дней до начала основной уборки|Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уборка урожая|Прямое комбайнирование|42|При влажности зерна 18%||Комбайны
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уборка урожая|Раздельная уборка: скашивание в валки|43|При засорённом хлебостое, влажности зерна 22-24%||Жатки валковые
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Уборка урожая|Подбор валков|44|Влажность зерна не более 14-15%.|Через 3-5 дней после скашивания|Комбайны с подборщиками
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Взвешивание|45|||Весы автомобильные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Предварительная очистка|46|Очистка от первичных примесей||Машины предварительной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Сушка зерна|47|||Сушилки стационарные, передвижные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Первичная очистка|48|Доведение зерна до кондиционных параметров по содержанию посторонних включений||Машины первичной очистки
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Подготовка семян|49|Доведение семян до кондиционных параметров согласно требованиям ГОСТ Р 52325-2005г на семена||Приставки семяочистительные
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Проверка качества зерна|50|3 класс -клейковина 23-28%, ИДК-95 ед. ; 4 класс - клейковина 18-23%, ИДК-95 ед. ; 5 класс - клейковина менее 18%, ИДК более 105 ед.|При закладке на хранение|Лабораторное оборудование
Южно-таежно-лесная зона|Среднерусская провинция|Озимая пшеница|Нормальный||Послеуборочная обработка зерна|Загрузка и транспортировка зерна на хранение или элеватор|51||После очистки|Зернопогрузчики, автомобили
