agrostation_name|field_name|zone_name|province_name|ae_group|ae_type|area
Козлово|1|Южно-таежно-лесная зона|Среднерусская провинция|1|1.1. Дерново-подзолистые средне- и легкосуглинистые культурные|0.792
Козлово|2|Южно-таежно-лесная зона|Среднерусская провинция|1|1.1. Дерново-подзолистые средне- и легкосуглинистые культурные|0.994
Козлово|3|Южно-таежно-лесная зона|Среднерусская провинция|1|1.1. Дерново-подзолистые средне- и легкосуглинистые культурные|4.701
Козлово|4|Южно-таежно-лесная зона|Среднерусская провинция|2|2.3. Дерново-подзолистые тяжелосуглинистые и легкоглинистые среднеокультуренные с участием слабосмытых.|0.488
Козлово|5|Южно-таежно-лесная зона|Среднерусская провинция|2|2.3. Дерново-подзолистые тяжелосуглинистые и легкоглинистые среднеокультуренные с участием слабосмытых.|0.513
Козлово|6|Южно-таежно-лесная зона|Среднерусская провинция|2|2.3. Дерново-подзолистые тяжелосуглинистые и легкоглинистые среднеокультуренные с участием слабосмытых.|1.514
Козлово|7|Южно-таежно-лесная зона|Среднерусская провинция|2|2.3. Дерново-подзолистые тяжелосуглинистые и легкоглинистые среднеокультуренные с участием слабосмытых.|5.585
Козлово|8|Южно-таежно-лесная зона|Среднерусская провинция|2|2.3. Дерново-подзолистые тяжелосуглинистые и легкоглинистые среднеокультуренные с участием слабосмытых.|0.222
Козлово|9|Южно-таежно-лесная зона|Среднерусская провинция|5|5.1. Дерново-подзолистые слабоглееватые|1.782
Козлово|10|Южно-таежно-лесная зона|Среднерусская провинция|5|5.1. Дерново-подзолистые слабоглееватые|3.923
Козлово|11|Южно-таежно-лесная зона|Среднерусская провинция|5|5.1. Дерново-подзолистые слабоглееватые|1.632
Козлово|12|Южно-таежно-лесная зона|Среднерусская провинция|5|5.1. Дерново-подзолистые слабоглееватые|8.474
Козлово|13|Южно-таежно-лесная зона|Среднерусская провинция|1|1.1. Дерново-подзолистые средне- и легкосуглинистые культурные|1.881
Козлово|14|Южно-таежно-лесная зона|Среднерусская провинция|1|1.1. Дерново-подзолистые средне- и легкосуглинистые культурные|0.383
Козлово|15|Южно-таежно-лесная зона|Среднерусская провинция|6|6.3. Дерново-подзолистые глееватые и глеевые тяжелосуглинистые и легкоглинистые.|1.718
Козлово|2|Южно-таежно-лесная зона|Среднерусская провинция|1|1.5. Дерново-подзолистые средне- и легкосуглинистые освоенные|0.65
